Marque;Modele;Annee;Km_Tranche;Energie;Boite;Cote_Moyenne;Cote_Mediane;Prix_Min;Prix_Max;Nb_Annonces;Fiabilité
AC;COBRA;1965;15000 - 30000;Essence;Manuelle;149900;149900.0;149900;149900;1;Très Faible (1)
AC;COBRA;1985;0 - 15000;Essence;Manuelle;97000;97000.0;97000;97000;1;Très Faible (1)
ALFA ROMEO;1.8I;1999;150000 - 165000;Essence;Manuelle;2790;2790.0;2790;2790;1;Très Faible (1)
ALFA ROMEO;145;1997;150000 - 165000;Essence;Manuelle;600;600.0;600;600;1;Très Faible (1)
ALFA ROMEO;145;1998;165000 - 180000;Essence;Manuelle;2490;2490.0;2490;2490;1;Très Faible (1)
ALFA ROMEO;145;1999;120000 - 135000;Essence;Manuelle;2500;2500.0;2500;2500;1;Très Faible (1)
ALFA ROMEO;147;2000;75000 - 90000;Essence;Manuelle;7000;7000.0;7000;7000;1;Très Faible (1)
ALFA ROMEO;147;2001;165000 - 180000;Essence;Manuelle;1990;1990.0;1990;1990;1;Très Faible (1)
ALFA ROMEO;147;2001;285000 - 300000;Essence;Manuelle;1200;1200.0;1200;1200;1;Très Faible (1)
ALFA ROMEO;147;2001;90000 - 105000;Essence;Manuelle;3000;3000.0;3000;3000;1;Très Faible (1)
ALFA ROMEO;156;1997;30000 - 45000;Essence;Manuelle;16000;16000.0;15999;15999;1;Très Faible (1)
ALFA ROMEO;156;1998;150000 - 165000;Essence;Manuelle;8490;8490.0;8490;8490;1;Très Faible (1)
ALFA ROMEO;156;1998;270000 - 285000;Essence;Manuelle;4950;4950.0;4950;4950;1;Très Faible (1)
ALFA ROMEO;156;1999;150000 - 165000;Essence;Manuelle;3200;3200.0;3200;3200;1;Très Faible (1)
ALFA ROMEO;156;1999;180000 - 195000;Essence;Manuelle;3900;3900.0;3900;3900;1;Très Faible (1)
ALFA ROMEO;156;1999;240000 - 255000;Essence;Manuelle;2240;2240.0;2200;2280;2;Faible (2-5)
ALFA ROMEO;156;2000;120000 - 135000;Essence;Automatique;2990;2990.0;2990;2990;1;Très Faible (1)
ALFA ROMEO;156;2000;195000 - 210000;Diesel;Manuelle;1800;1800.0;1800;1800;1;Très Faible (1)
ALFA ROMEO;156;2000;210000 - 225000;Essence;Manuelle;5500;5500.0;5500;5500;1;Très Faible (1)
ALFA ROMEO;156;2000;270000 - 285000;Essence;Manuelle;990;990.0;990;990;1;Très Faible (1)
ALFA ROMEO;156;2001;180000 - 195000;Essence;Manuelle;8800;8800.0;8800;8800;1;Très Faible (1)
ALFA ROMEO;156-;1999;210000 - 225000;Essence;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
ALFA ROMEO;166;1999;120000 - 135000;Essence;Manuelle;5500;5500.0;5500;5500;1;Très Faible (1)
ALFA ROMEO;166;2001;180000 - 195000;Diesel;Manuelle;3490;3490.0;3490;3490;1;Très Faible (1)
ALFA ROMEO;916;1998;45000 - 60000;Essence;Manuelle;7500;7500.0;7500;7500;1;Très Faible (1)
ALFA ROMEO;AUTRE;1997;105000 - 120000;Essence;Manuelle;13300;13300.0;13300;13300;1;Très Faible (1)
ALFA ROMEO;AUTRE;1998;30000 - 45000;Essence;Manuelle;9900;9900.0;9900;9900;1;Très Faible (1)
ALFA ROMEO;AUTRE;1999;120000 - 135000;Essence;Manuelle;4000;4000.0;4000;4000;1;Très Faible (1)
ALFA ROMEO;AUTRE;1999;210000 - 225000;Essence;Manuelle;1800;1800.0;1800;1800;1;Très Faible (1)
ALFA ROMEO;AUTRE;2001;285000 - 300000;Diesel;Manuelle;1400;1400.0;1400;1400;1;Très Faible (1)
ALFA ROMEO;GIULIA II;2017;75000 - 90000;Essence;Auto;32990;32990.0;32990;32990;1;Très Faible (1)
ALFA ROMEO;GIULIA II;2020;120000 - 135000;Diesel;Auto;25490;25490.0;25488;25488;1;Très Faible (1)
ALFA ROMEO;GIULIA II;2022;45000 - 60000;Diesel;Auto;33490;33490.0;33490;33490;1;Très Faible (1)
ALFA ROMEO;GIULIA II PHASE 2;2025;0 - 15000;Diesel;Auto;48690;48690.0;48694;48694;1;Très Faible (1)
ALFA ROMEO;GIULIETTA;1997;180000 - 195000;Diesel;Manuelle;7000;7000.0;7000;7000;1;Très Faible (1)
ALFA ROMEO;GTV;1997;45000 - 60000;Essence;Manuelle;17900;17900.0;17900;17900;1;Très Faible (1)
ALFA ROMEO;GTV;1998;135000 - 150000;Essence;Manuelle;8450;8450.0;7500;9400;2;Faible (2-5)
ALFA ROMEO;GTV;1998;90000 - 105000;Essence;Manuelle;18000;18000.0;18000;18000;1;Très Faible (1)
ALFA ROMEO;GTV;1999;180000 - 195000;Essence;Manuelle;3990;3990.0;3990;3990;1;Très Faible (1)
ALFA ROMEO;GTV;1999;255000 - 270000;Essence;Manuelle;9500;9500.0;9500;9500;1;Très Faible (1)
ALFA ROMEO;GTV;1999;90000 - 105000;Essence;Manuelle;10900;10900.0;10900;10900;1;Très Faible (1)
ALFA ROMEO;GTV;2001;135000 - 150000;Essence;Manuelle;14990;14990.0;14990;14990;1;Très Faible (1)
ALFA ROMEO;GTV;2001;225000 - 240000;Essence;Manuelle;14790;14790.0;14790;14790;1;Très Faible (1)
ALFA ROMEO;GTV;2001;90000 - 105000;Essence;Manuelle;19900;19900.0;19900;19900;1;Très Faible (1)
ALFA ROMEO;JUNIOR;2024;0 - 15000;Essence;Auto;29490;29490.0;29490;29490;1;Très Faible (1)
ALFA ROMEO;JUNIOR;2025;0 - 15000;Essence;Auto;33740;33740.0;32490;34990;2;Faible (2-5)
ALFA ROMEO;JUNIOR;2025;0 - 15000;Électrique;Auto;39290;38990.0;37990;40890;3;Faible (2-5)
ALFA ROMEO;SPIDER;1997;135000 - 150000;Essence;Manuelle;5390;5390.0;5390;5390;1;Très Faible (1)
ALFA ROMEO;SPIDER;1997;165000 - 180000;Essence;Manuelle;6990;6990.0;6990;6990;1;Très Faible (1)
ALFA ROMEO;SPIDER;1997;210000 - 225000;Essence;Manuelle;5350;5350.0;5350;5350;1;Très Faible (1)
ALFA ROMEO;SPIDER;1997;90000 - 105000;Essence;Manuelle;10000;10000.0;7990;12000;2;Faible (2-5)
ALFA ROMEO;SPIDER;1998;135000 - 150000;Essence;Manuelle;7990;7990.0;7990;7990;1;Très Faible (1)
ALFA ROMEO;SPIDER;1998;60000 - 75000;Essence;Manuelle;10900;10900.0;10900;10900;1;Très Faible (1)
ALFA ROMEO;SPIDER;2000;105000 - 120000;Essence;Manuelle;10000;10000.0;10000;10000;1;Très Faible (1)
ALFA ROMEO;SPIDER;2000;135000 - 150000;Essence;Manuelle;12000;12000.0;12000;12000;1;Très Faible (1)
ALFA ROMEO;SPIDER;2000;150000 - 165000;Essence;Manuelle;14990;14990.0;14990;14990;1;Très Faible (1)
ALFA ROMEO;STELVIO;2017;150000 - 165000;Diesel;Auto;17990;17990.0;17990;17990;1;Très Faible (1)
ALFA ROMEO;STELVIO;2018;60000 - 75000;Diesel;Auto;29490;29490.0;29490;29490;1;Très Faible (1)
ALFA ROMEO;STELVIO;2022;75000 - 90000;Diesel;Auto;39000;39000.0;38999;38999;1;Très Faible (1)
ALFA ROMEO;STELVIO PHASE 2;2024;30000 - 45000;Diesel;Auto;40990;40990.0;40990;40990;1;Très Faible (1)
ALFA ROMEO;TONALE;2022;0 - 15000;Essence;Auto;38590;38590.0;38590;38590;1;Très Faible (1)
ALFA ROMEO;TONALE;2023;30000 - 45000;Hybrides;Auto;27000;27000.0;26999;26999;1;Très Faible (1)
ALFA ROMEO;TONALE;2025;0 - 15000;Diesel;Auto;36290;36290.0;36290;36290;1;Très Faible (1)
ALFA ROMEO;TONALE;2025;0 - 15000;Essence;Auto;46990;46990.0;46990;46990;1;Très Faible (1)
ALPINE;A110 II;2024;0 - 15000;Essence;Auto;66440;66440.0;58888;73990;2;Faible (2-5)
ASTON MARTIN;DB9 VOLANTE;2008;30000 - 45000;Essence;Auto;74900;74900.0;74900;74900;1;Très Faible (1)
AUDI;80;1997;150000 - 165000;Diesel;Manuelle;6990;6990.0;6990;6990;1;Très Faible (1)
AUDI;80;1998;150000 - 165000;Essence;Manuelle;14000;14000.0;13999;13999;1;Très Faible (1)
AUDI;80;1999;165000 - 180000;Essence;Manuelle;8500;8500.0;8500;8500;1;Très Faible (1)
AUDI;80;1999;180000 - 195000;Essence;Manuelle;6900;6900.0;6900;6900;1;Très Faible (1)
AUDI;80;1999;45000 - 60000;Diesel;Manuelle;14900;14900.0;14900;14900;1;Très Faible (1)
AUDI;80;2000;45000 - 60000;Essence;Automatique;17990;17990.0;17990;17990;1;Très Faible (1)
AUDI;A1 II CITYCARVER;2019;75000 - 90000;Essence;Manuelle;19990;19990.0;19990;19990;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2019;45000 - 60000;Essence;Manuelle;17600;17600.0;17598;17598;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2020;45000 - 60000;Essence;Auto;23290;23290.0;23290;23290;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2020;60000 - 75000;Essence;Manuelle;16990;16990.0;16990;16990;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2020;75000 - 90000;Essence;Auto;24000;24000.0;23999;23999;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2021;60000 - 75000;Essence;Auto;19990;19990.0;19990;19990;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2022;45000 - 60000;Essence;Auto;25900;25900.0;25900;25900;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2023;30000 - 45000;Essence;Auto;24980;24980.0;24980;24980;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2024;15000 - 30000;Essence;Auto;32880;32880.0;32880;32880;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2025;0 - 15000;Essence;Auto;31900;31900.0;31900;31900;1;Très Faible (1)
AUDI;A1 II SPORTBACK;2025;15000 - 30000;Essence;Auto;31420;31440.0;29900;32900;4;Faible (2-5)
AUDI;A1 PHASE 2;2015;75000 - 90000;Essence;Auto;16000;16000.0;15999;15999;1;Très Faible (1)
AUDI;A1 SPORTBACK;2014;150000 - 165000;Diesel;Auto;10490;10490.0;10490;10490;1;Très Faible (1)
AUDI;A1 SPORTBACK;2014;45000 - 60000;Essence;Manuelle;16480;16480.0;16477;16477;1;Très Faible (1)
AUDI;A1 SPORTBACK;2014;60000 - 75000;Essence;Auto;15980;15980.0;15977;15977;1;Très Faible (1)
AUDI;A1 SPORTBACK PHASE 2;2014;135000 - 150000;Essence;Manuelle;11990;11990.0;11990;11990;1;Très Faible (1)
AUDI;A1 SPORTBACK PHASE 2;2016;45000 - 60000;Essence;Auto;18990;18990.0;18990;18990;1;Très Faible (1)
AUDI;A1 SPORTBACK PHASE 2;2016;90000 - 105000;Essence;Auto;15990;15990.0;15990;15990;1;Très Faible (1)
AUDI;A1 SPORTBACK PHASE 2;2018;60000 - 75000;Essence;Manuelle;16190;16190.0;16190;16190;1;Très Faible (1)
AUDI;A2;2000;225000 - 240000;Essence;Manuelle;2890;2890.0;2890;2890;1;Très Faible (1)
AUDI;A2;2000;270000 - 285000;Diesel;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A2;2001;150000 - 165000;Diesel;Manuelle;3200;3200.0;3200;3200;1;Très Faible (1)
AUDI;A2;2001;180000 - 195000;Essence;Manuelle;1850;1850.0;1850;1850;1;Très Faible (1)
AUDI;A2;2001;195000 - 210000;Diesel;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A2;2001;210000 - 225000;Essence;Manuelle;1900;1900.0;1800;2000;2;Faible (2-5)
AUDI;A2;2001;240000 - 255000;Diesel;Manuelle;1520;1520.0;1500;1550;2;Faible (2-5)
AUDI;A2;2001;270000 - 285000;Diesel;Manuelle;950;950.0;950;950;1;Très Faible (1)
AUDI;A3;1997;225000 - 240000;Essence;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A3;1997;255000 - 270000;Essence;Manuelle;2900;2900.0;2900;2900;1;Très Faible (1)
AUDI;A3;1997;300000 - 315000;Diesel;Manuelle;980;980.0;950;1000;2;Faible (2-5)
AUDI;A3;1997;330000 - 345000;Diesel;Manuelle;3000;3000.0;3000;3000;1;Très Faible (1)
AUDI;A3;1997;480000 - 495000;Diesel;Manuelle;1000;1000.0;1000;1000;1;Très Faible (1)
AUDI;A3;1998;135000 - 150000;Essence;Automatique;3600;3600.0;3600;3600;1;Très Faible (1)
AUDI;A3;1998;180000 - 195000;Essence;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A3;1998;195000 - 210000;Essence;Manuelle;2800;2800.0;2600;3000;2;Faible (2-5)
AUDI;A3;1998;225000 - 240000;Diesel;Manuelle;3070;3200.0;2500;3500;3;Faible (2-5)
AUDI;A3;1998;240000 - 255000;Diesel;Manuelle;2000;2000.0;1999;1999;1;Très Faible (1)
AUDI;A3;1998;240000 - 255000;Essence;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A3;1998;270000 - 285000;Essence;Manuelle;1900;1900.0;1900;1900;1;Très Faible (1)
AUDI;A3;1998;285000 - 300000;Essence;Manuelle;2500;2500.0;2500;2500;1;Très Faible (1)
AUDI;A3;1998;300000 - 315000;Essence;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A3;1998;330000 - 345000;Diesel;Manuelle;700;700.0;700;700;1;Très Faible (1)
AUDI;A3;1998;360000 - 375000;Diesel;Manuelle;2500;2500.0;2500;2500;2;Faible (2-5)
AUDI;A3;1998;375000 - 390000;Diesel;Manuelle;1800;1800.0;1800;1800;1;Très Faible (1)
AUDI;A3;1998;390000 - 405000;Diesel;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A3;1998;480000 - 495000;Diesel;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A3;1999;0 - 15000;Diesel;Manuelle;1250;1250.0;1250;1250;1;Très Faible (1)
AUDI;A3;1999;120000 - 135000;Diesel;Manuelle;4300;4300.0;4300;4300;1;Très Faible (1)
AUDI;A3;1999;195000 - 210000;Diesel;Manuelle;4500;4500.0;4500;4500;1;Très Faible (1)
AUDI;A3;1999;195000 - 210000;Essence;Manuelle;2240;2240.0;1500;2990;2;Faible (2-5)
AUDI;A3;1999;210000 - 225000;Diesel;Manuelle;2400;2400.0;1300;3490;2;Faible (2-5)
AUDI;A3;1999;210000 - 225000;Essence;Automatique;2600;2600.0;2600;2600;1;Très Faible (1)
AUDI;A3;1999;225000 - 240000;Diesel;Manuelle;1200;1200.0;1200;1200;1;Très Faible (1)
AUDI;A3;1999;225000 - 240000;Essence;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A3;1999;240000 - 255000;Diesel;Manuelle;1600;1600.0;1600;1600;1;Très Faible (1)
AUDI;A3;1999;240000 - 255000;Essence;Manuelle;2800;2800.0;2800;2800;1;Très Faible (1)
AUDI;A3;1999;255000 - 270000;Essence;Manuelle;3500;3500.0;3500;3500;1;Très Faible (1)
AUDI;A3;1999;270000 - 285000;Essence;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A3;1999;285000 - 300000;Essence;Manuelle;3700;3700.0;3700;3700;1;Très Faible (1)
AUDI;A3;1999;300000 - 315000;Diesel;Manuelle;2940;2940.0;2890;2990;2;Faible (2-5)
AUDI;A3;1999;315000 - 330000;Diesel;Manuelle;1900;1900.0;1900;1900;1;Très Faible (1)
AUDI;A3;1999;330000 - 345000;Diesel;Manuelle;1000;1000.0;1000;1000;1;Très Faible (1)
AUDI;A3;1999;330000 - 345000;Essence;Automatique;1800;1800.0;1800;1800;1;Très Faible (1)
AUDI;A3;1999;360000 - 375000;Diesel;Manuelle;2000;2000.0;1999;1999;1;Très Faible (1)
AUDI;A3;2000;105000 - 120000;Essence;Manuelle;3990;3990.0;3990;3990;1;Très Faible (1)
AUDI;A3;2000;135000 - 150000;Essence;Manuelle;4000;4000.0;4000;4000;1;Très Faible (1)
AUDI;A3;2000;180000 - 195000;Essence;Manuelle;4290;4290.0;4290;4290;1;Très Faible (1)
AUDI;A3;2000;195000 - 210000;Diesel;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A3;2000;195000 - 210000;Essence;Manuelle;4500;4500.0;4500;4500;1;Très Faible (1)
AUDI;A3;2000;210000 - 225000;Essence;Manuelle;2200;2200.0;2200;2200;1;Très Faible (1)
AUDI;A3;2000;225000 - 240000;Diesel;Manuelle;2350;2350.0;2350;2350;1;Très Faible (1)
AUDI;A3;2000;225000 - 240000;Essence;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A3;2000;240000 - 255000;Diesel;Manuelle;4200;4200.0;4200;4200;1;Très Faible (1)
AUDI;A3;2000;255000 - 270000;Diesel;Manuelle;1200;1200.0;1200;1200;1;Très Faible (1)
AUDI;A3;2000;255000 - 270000;Essence;Manuelle;4300;4300.0;4300;4300;1;Très Faible (1)
AUDI;A3;2000;285000 - 300000;Essence;Manuelle;3200;3200.0;3200;3200;1;Très Faible (1)
AUDI;A3;2000;300000 - 315000;Diesel;Manuelle;1700;1700.0;1700;1700;1;Très Faible (1)
AUDI;A3;2000;300000 - 315000;Essence;Manuelle;3700;3700.0;3700;3700;1;Très Faible (1)
AUDI;A3;2000;345000 - 360000;Diesel;Manuelle;1250;1250.0;1000;1500;2;Faible (2-5)
AUDI;A3;2000;390000 - 405000;Diesel;Manuelle;1200;1200.0;1200;1200;1;Très Faible (1)
AUDI;A3;2000;450000 - 465000;Diesel;Manuelle;1000;1000.0;1000;1000;1;Très Faible (1)
AUDI;A3;2001;120000 - 135000;Diesel;Manuelle;3900;3900.0;3900;3900;1;Très Faible (1)
AUDI;A3;2001;120000 - 135000;Essence;Manuelle;3200;3200.0;3200;3200;2;Faible (2-5)
AUDI;A3;2001;135000 - 150000;Essence;Automatique;4500;4500.0;4500;4500;1;Très Faible (1)
AUDI;A3;2001;180000 - 195000;Essence;Manuelle;4500;4500.0;4500;4500;1;Très Faible (1)
AUDI;A3;2001;195000 - 210000;Diesel;Manuelle;2400;2400.0;1200;3600;2;Faible (2-5)
AUDI;A3;2001;210000 - 225000;Essence;Manuelle;2200;2200.0;2200;2200;1;Très Faible (1)
AUDI;A3;2001;225000 - 240000;Essence;Automatique;3550;3550.0;3550;3550;1;Très Faible (1)
AUDI;A3;2001;225000 - 240000;Essence;Manuelle;2950;2950.0;2950;2950;1;Très Faible (1)
AUDI;A3;2001;240000 - 255000;Essence;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A3;2001;255000 - 270000;Diesel;Manuelle;1250;1350.0;1000;1400;3;Faible (2-5)
AUDI;A3;2001;270000 - 285000;Diesel;Manuelle;1300;1300.0;1300;1300;1;Très Faible (1)
AUDI;A3;2001;285000 - 300000;Diesel;Manuelle;2380;2450.0;1800;2800;4;Faible (2-5)
AUDI;A3;2001;285000 - 300000;Essence;Manuelle;4200;4200.0;4200;4200;1;Très Faible (1)
AUDI;A3;2001;300000 - 315000;Diesel;Manuelle;2500;2500.0;2000;3000;2;Faible (2-5)
AUDI;A3;2001;315000 - 330000;Diesel;Manuelle;1860;1850.0;1234;2500;3;Faible (2-5)
AUDI;A3;2001;360000 - 375000;Diesel;Manuelle;1700;1700.0;1700;1700;1;Très Faible (1)
AUDI;A3;2001;390000 - 405000;Essence;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A3;2001;405000 - 420000;Diesel;Automatique;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A3;2001;405000 - 420000;Diesel;Manuelle;2990;2990.0;2990;2990;1;Très Faible (1)
AUDI;A3;2001;435000 - 450000;Diesel;Manuelle;2500;2500.0;2500;2500;1;Très Faible (1)
AUDI;A3;2001;90000 - 105000;Essence;Automatique;4000;4000.0;4000;4000;1;Très Faible (1)
AUDI;A3;2002;240000 - 255000;Essence;Manuelle;2900;2900.0;2900;2900;1;Très Faible (1)
AUDI;A3;2002;360000 - 375000;Diesel;Manuelle;1000;1000.0;1000;1000;1;Très Faible (1)
AUDI;A3;2002;45000 - 60000;Essence;Manuelle;5990;5990.0;5990;5990;1;Très Faible (1)
AUDI;A3 II CABRIOLET PHASE 3;2010;75000 - 90000;Diesel;Manuelle;12890;12890.0;12890;12890;1;Très Faible (1)
AUDI;A3 II PHASE 2;2006;180000 - 195000;Essence;Auto;8990;8990.0;8990;8990;1;Très Faible (1)
AUDI;A3 II SPORTBACK;2004;210000 - 225000;Diesel;Manuelle;3980;3980.0;3980;3980;1;Très Faible (1)
AUDI;A3 II SPORTBACK;2007;210000 - 225000;Essence;Auto;5990;5990.0;5990;5990;1;Très Faible (1)
AUDI;A3 III;2016;90000 - 105000;Diesel;Auto;18500;18500.0;18499;18499;1;Très Faible (1)
AUDI;A3 III BERLINE PHASE 2;2018;75000 - 90000;Essence;Auto;19090;19090.0;19088;19088;1;Très Faible (1)
AUDI;A3 III SPORTBACK;2013;165000 - 180000;Diesel;Manuelle;9490;9490.0;9490;9490;1;Très Faible (1)
AUDI;A3 III SPORTBACK;2013;195000 - 210000;Diesel;Manuelle;11000;11000.0;10999;10999;1;Très Faible (1)
AUDI;A3 III SPORTBACK;2013;225000 - 240000;Diesel;Auto;9490;9490.0;9490;9490;1;Très Faible (1)
AUDI;A3 III SPORTBACK;2015;120000 - 135000;Diesel;Manuelle;15000;15000.0;14999;14999;1;Très Faible (1)
AUDI;A3 III SPORTBACK PHASE 2;2016;150000 - 165000;Essence;Auto;15990;15990.0;15990;15990;1;Très Faible (1)
AUDI;A3 III SPORTBACK PHASE 2;2018;120000 - 135000;Essence;Manuelle;17090;17090.0;17090;17090;1;Très Faible (1)
AUDI;A3 III SPORTBACK PHASE 2;2019;45000 - 60000;Essence;Auto;21000;21000.0;20999;20999;1;Très Faible (1)
AUDI;A3 IV ALLSTREET PHASE 2;2024;0 - 15000;Essence;Auto;36900;36900.0;36900;36900;1;Très Faible (1)
AUDI;A3 IV ALLSTREET PHASE 2;2025;0 - 15000;Essence;Auto;42900;42900.0;42900;42900;1;Très Faible (1)
AUDI;A3 IV BERLINE PHASE 2;2024;0 - 15000;Essence;Auto;36900;36900.0;36900;36900;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2020;120000 - 135000;Diesel;Auto;24990;24990.0;24990;24990;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2020;45000 - 60000;Diesel;Auto;35990;35990.0;35990;35990;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2020;45000 - 60000;Essence;Auto;26990;26990.0;26990;26990;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2020;60000 - 75000;Diesel;Auto;27900;27900.0;27900;27900;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2021;45000 - 60000;Hybrides;Auto;26980;26980.0;26980;26980;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2021;90000 - 105000;Diesel;Auto;25490;25490.0;25490;25490;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2022;30000 - 45000;Essence;Manuelle;26800;26800.0;26799;26799;1;Très Faible (1)
AUDI;A3 IV SPORTBACK;2022;45000 - 60000;Essence;Auto;22490;22490.0;22490;22490;1;Très Faible (1)
AUDI;A3 IV SPORTBACK PHASE 2;2024;0 - 15000;Essence;Auto;39440;39440.0;38900;39990;2;Faible (2-5)
AUDI;A3 IV SPORTBACK PHASE 2;2025;0 - 15000;Diesel;Auto;43900;43900.0;43900;43900;1;Très Faible (1)
AUDI;A3 IV SPORTBACK PHASE 2;2025;0 - 15000;Hybrides;Auto;45060;45060.0;45064;45064;1;Très Faible (1)
AUDI;A3 IV SPORTBACK PHASE 2;2025;15000 - 30000;Essence;Auto;36490;36490.0;36490;36490;1;Très Faible (1)
AUDI;A4;1997;165000 - 180000;Diesel;Automatique;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A4;1997;165000 - 180000;Essence;Automatique;2000;2000.0;2000;2000;1;Très Faible (1)
AUDI;A4;1997;180000 - 195000;Diesel;Manuelle;1000;1000.0;1000;1000;1;Très Faible (1)
AUDI;A4;1997;195000 - 210000;Diesel;Automatique;3800;3800.0;3800;3800;1;Très Faible (1)
AUDI;A4;1997;195000 - 210000;Essence;Manuelle;1800;1800.0;1800;1800;1;Très Faible (1)
AUDI;A4;1997;225000 - 240000;Essence;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A4;1997;240000 - 255000;Essence;Automatique;1850;1850.0;1200;2500;2;Faible (2-5)
AUDI;A4;1997;255000 - 270000;Essence;Manuelle;1700;1700.0;1700;1700;1;Très Faible (1)
AUDI;A4;1997;270000 - 285000;Diesel;Manuelle;2500;2500.0;2500;2500;1;Très Faible (1)
AUDI;A4;1997;315000 - 330000;Essence;Manuelle;2200;2200.0;2200;2200;1;Très Faible (1)
AUDI;A4;1997;375000 - 390000;Diesel;Manuelle;1300;1300.0;1200;1400;2;Faible (2-5)
AUDI;A4;1997;390000 - 405000;Diesel;Manuelle;1900;1900.0;1900;1900;2;Faible (2-5)
AUDI;A4;1997;435000 - 450000;Diesel;Manuelle;1150;1150.0;1150;1150;1;Très Faible (1)
AUDI;A4;1997;60000 - 75000;Essence;Manuelle;3200;3200.0;3200;3200;1;Très Faible (1)
AUDI;A4;1998;120000 - 135000;Essence;Manuelle;2900;2900.0;2900;2900;1;Très Faible (1)
AUDI;A4;1998;135000 - 150000;Diesel;Manuelle;4500;4500.0;4500;4500;1;Très Faible (1)
AUDI;A4;1998;165000 - 180000;Essence;Manuelle;3700;3700.0;3700;3700;1;Très Faible (1)
AUDI;A4;1998;180000 - 195000;Essence;Manuelle;2250;2250.0;2250;2250;1;Très Faible (1)
AUDI;A4;1998;195000 - 210000;Diesel;Manuelle;4700;4700.0;4700;4700;1;Très Faible (1)
AUDI;A4;1998;195000 - 210000;Essence;Manuelle;3100;3100.0;2200;4000;2;Faible (2-5)
AUDI;A4;1998;225000 - 240000;Diesel;Manuelle;4700;4700.0;4700;4700;1;Très Faible (1)
AUDI;A4;1998;255000 - 270000;Essence;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A4;1998;270000 - 285000;Essence;Manuelle;1000;1000.0;1000;1000;2;Faible (2-5)
AUDI;A4;1998;285000 - 300000;Diesel;Manuelle;1000;1000.0;1000;1000;1;Très Faible (1)
AUDI;A4;1998;90000 - 105000;Essence;Manuelle;4300;4300.0;4300;4300;1;Très Faible (1)
AUDI;A4;1999;165000 - 180000;Essence;Automatique;800;800.0;800;800;1;Très Faible (1)
AUDI;A4;1999;210000 - 225000;Diesel;Manuelle;1000;1000.0;1000;1000;1;Très Faible (1)
AUDI;A4;1999;210000 - 225000;Essence;Manuelle;2240;2240.0;1990;2500;2;Faible (2-5)
AUDI;A4;1999;240000 - 255000;Diesel;Automatique;800;800.0;800;800;1;Très Faible (1)
AUDI;A4;1999;255000 - 270000;Diesel;Manuelle;4200;4200.0;4200;4200;1;Très Faible (1)
AUDI;A4;1999;270000 - 285000;Essence;Manuelle;1500;1500.0;1500;1500;1;Très Faible (1)
AUDI;A4;1999;285000 - 300000;Diesel;Manuelle;1900;1900.0;1900;1900;1;Très Faible (1)
AUDI;A4;1999;285000 - 300000;Essence;Manuelle;2500;2500.0;2500;2500;1;Très Faible (1)
AUDI;A4;1999;300000 - 315000;Diesel;Manuelle;2500;2500.0;2100;2900;2;Faible (2-5)
AUDI;A4;1999;315000 - 330000;Essence;Manuelle;4900;4900.0;4900;4900;1;Très Faible (1)
AUDI;A4;1999;345000 - 360000;Diesel;Manuelle;2000;2000.0;2000;2000;1;Très Faible (1)
